municipio,tipo de crimen,año,trimestre,num_trimestre,conteo_predicho,modelo,nivel_confianza
Alcorcón,Homicidios dolosos y asesinatos consumados,2026,Q1,1,0.0,Mediana móvil 4,Alta incertidumbre
Alcorcón,Homicidios dolosos y asesinatos consumados,2026,Q2,2,0.0,Mediana móvil 4,Alta incertidumbre
Alcorcón,Homicidios dolosos y asesinatos consumados,2026,Q3,3,0.0,Mediana móvil 4,Alta incertidumbre
Alcorcón,Homicidios dolosos y asesinatos en grado tentativa,2026,Q1,1,0.5,Mediana móvil 4,Alta incertidumbre
Alcorcón,Homicidios dolosos y asesinatos en grado tentativa,2026,Q2,2,0.25,Mediana móvil 4,Alta incertidumbre
Alcorcón,Homicidios dolosos y asesinatos en grado tentativa,2026,Q3,3,0.375,Mediana móvil 4,Alta incertidumbre
Alcorcón,Hurtos,2026,Q1,1,713.9972527704622,Gradient Boosting,Estándar
Alcorcón,Hurtos,2026,Q2,2,716.2005796548605,Gradient Boosting,Estándar
Alcorcón,Hurtos,2026,Q3,3,720.1040244936064,Gradient Boosting,Estándar
Alcorcón,Otros ciberdelitos,2026,Q1,1,55.64765016489583,Gradient Boosting,Estándar
Alcorcón,Otros ciberdelitos,2026,Q2,2,59.53805528609165,Gradient Boosting,Estándar
Alcorcón,Otros ciberdelitos,2026,Q3,3,50.57502370974686,Gradient Boosting,Estándar
Alcorcón,Resto de criminalidad convencional,2026,Q1,1,735.9066304005657,Gradient Boosting,Estándar
Alcorcón,Resto de criminalidad convencional,2026,Q2,2,769.2464752035753,Gradient Boosting,Estándar
Alcorcón,Resto de criminalidad convencional,2026,Q3,3,791.6897639344866,Gradient Boosting,Estándar
Alcorcón,Resto de delitos contra la libertad sexual,2026,Q1,1,8.133214802020944,Gradient Boosting,Estándar
Alcorcón,Resto de delitos contra la libertad sexual,2026,Q2,2,9.442934742707198,Gradient Boosting,Estándar
Alcorcón,Resto de delitos contra la libertad sexual,2026,Q3,3,9.442934742707198,Gradient Boosting,Estándar
Alcorcón,Robos con fuerza en domicilios,2026,Q1,1,23.11769226584589,Gradient Boosting,Estándar
Alcorcón,Robos con fuerza en domicilios,2026,Q2,2,22.22093052081986,Gradient Boosting,Estándar
Alcorcón,Robos con fuerza en domicilios,2026,Q3,3,27.342224486401758,Gradient Boosting,Estándar
Alcorcón,"Robos con fuerza en domicilios, establecimientos y otras instalaciones",2026,Q1,1,71.65878032558581,Gradient Boosting,Estándar
Alcorcón,"Robos con fuerza en domicilios, establecimientos y otras instalaciones",2026,Q2,2,68.73658564328615,Gradient Boosting,Estándar
Alcorcón,"Robos con fuerza en domicilios, establecimientos y otras instalaciones",2026,Q3,3,74.39467203130768,Gradient Boosting,Estándar
Alcorcón,Robos con violencia e intimidación,2026,Q1,1,37.40413368970614,Gradient Boosting,Estándar
Alcorcón,Robos con violencia e intimidación,2026,Q2,2,40.10859284828793,Gradient Boosting,Estándar
